feed_id,agency,country,n_bus_trips,n_travel_times,n_distinct_travel_times,median_travel_time_s,temporal_resolution_s,share_travel_times_whole_minute,share_stop_times_whole_minute,timepoint_status,approximate_share,share_timepoints_whole_minute,share_approx_whole_minute,interpolation_basis,n_approx_testable,share_approx_on_line,n_timepoints_testable,share_timepoints_on_line,n_control_modes,has_control_baseline,bus_peak_to_peak_s,segregated_peak_to_peak_s,bus_exceeds_own_control
mdb-648,"Wiener Lokalbahnen (WLB), Wiener Linien",AT,21877,322107,12,60.0,60.0,0.9999937908831538,0.9999972245890311,not_declared,,,,,0,,0,,2,True,4.444770848968014,11.838725096209014,False
mdb-651,TransLink Maryborough-Hervey Bay,AU,88,2953,21,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,0.0,,
mdb-652,TransLink North Stradbroke Island,AU,56,906,9,120.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
mdb-653,Bus Queensland Toowoomba (Bus Qld Toowoomba),AU,202,6728,9,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,6.906779661016949,,
mdb-655,Youngs Bus Service,AU,139,2439,23,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,17.615384615384617,,
mdb-659,Région Bourgogne-Franche-Comté,FR,463,5773,36,180.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,3.0,,
mdb-660,Adelaide Metro,AU,8969,367779,620,52.0,1.0,0.0234570217440365,0.14032722137874654,declared,0.8763443999702719,0.9999141391375277,0.019036167203273554,distance,323876,0.11413009917375785,2,0.0,2,True,7.737736628914327,3.621502209131075,True
mdb-665,MetroTas Hobart,AU,1646,49827,579,50.0,1.0,0.02012964858410099,0.16509324009324008,not_declared,,,,,0,,0,,0,False,9.661741293532339,,
mdb-667,Buslink Gladstone,AU,98,1526,11,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
mdb-671,Polleys Coaches,AU,53,709,13,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
mdb-672,Duffy's Buses and Stewarts & Sons Coaches,AU,92,2071,13,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
mdb-674,TransLink Sunbus Cairns,AU,638,15235,14,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,13.285276073619633,,
mdb-676,Whitsunday Transit,AU,101,1880,7,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,2.4864864864864864,,
mdb-677,Sunbus Townsville,AU,544,16647,14,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,6.855271366188397,,
mdb-678,Mackay Transit Coaches,AU,204,2949,16,120.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,20.0,,
mdb-68,Lake Transit Authority (LTA),US,102,199,15,300.0,60.0,1.0,1.0,declared,0.6926526388409796,1.0,1.0,distance,0,,0,,0,False,,,
mdb-680,"Department of Transport, Public Transport",AU,1081,18115,53,60.0,60.0,1.0,1.0,declared,0.722484312737599,1.0,1.0,distance,0,,0,,0,False,4.892442823997348,,
mdb-681,MetroTas Burnie,AU,344,5682,233,54.0,1.0,0.06529391059486096,0.31570220527275744,not_declared,,,,,0,,0,,0,False,2.8771929824561404,,
mdb-682,MetroTas Launceston,AU,678,15590,309,47.0,1.0,0.03361128928800513,0.24145981813713444,not_declared,,,,,0,,0,,0,False,4.561805555555555,,
mdb-684,De Lijn,BE,30554,819716,29,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,1,True,9.61826801847004,4.358755711020755,True
mdb-686,Société nationale des chemins de fer belges (NMBS-SNCB),NL,344,1064,27,660.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
mdb-689,Whitehorse Transit,CA,263,4261,8,120.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,0.0,,
mdb-69,Mendocino Transit Authority,US,109,1573,117,139.0,1.0,0.7425301970756516,0.8761160714285714,declared,0.13113839285714285,0.9820166987797045,0.17446808510638298,distance,191,0.900523560209424,28,0.17857142857142858,0,False,,,
mdb-696,TransLink Vancouver,CA,23891,683476,911,58.0,1.0,0.020353311601285194,0.12349317963659599,declared,0.8915626541809273,0.9999087412815332,0.016898116582258007,distance,309923,0.22960864472788403,4,0.0,1,True,12.25972006880222,10.645166259806821,True
mdb-699,BC Transit (Chilliwack),CA,292,5754,14,60.0,60.0,1.0,1.0,declared,0.811986531986532,1.0,1.0,stopcount,0,,0,,0,False,3.159128228093745,,
mdb-7,Empresa Publica de Transportes e Circulação (EPTC),BR,12565,38,2,2400.0,,1.0,1.0,not_declared,,,,,0,,0,,0,False,0.0,,
mdb-70,Sonoma County Transit (SCT),US,292,11601,250,54.0,1.0,0.048357900181018876,0.2744471537879425,declared,0.7353905658790886,0.998093422306959,0.014063571918591356,distance,8611,0.9103472302868424,6,1.0,0,False,,,
mdb-708,Prince George Transit,CA,503,9939,20,60.0,60.0,1.0,1.0,declared,0.8380064488994813,1.0,1.0,stopcount,0,,0,,0,False,0.10752688172043011,,
mdb-711,Roam Transit,CA,258,2362,9,120.0,60.0,1.0,1.0,declared,0.7958015267175572,1.0,1.0,distance,0,,0,,0,False,0.0,,
mdb-712,Calgary Transit,CA,10077,276290,22,60.0,60.0,1.0,1.0,declared,0.8727045985970382,1.0,1.0,distance,0,,0,,1,True,5.189600212300916,2.331818181818181,True
mdb-714,Edmonton Transit System,CA,11222,275235,36,60.0,60.0,1.0,1.0,declared,0.8910455541047133,1.0,1.0,stopcount,0,,0,,1,True,9.679579170459185,0.0,True
mdb-715,City of Regina,CA,1282,46785,14,60.0,60.0,1.0,1.0,declared,0.8885783407714616,1.0,1.0,distance,0,,0,,0,False,1.9942600492491243,,
mdb-716,Saskatoon Transit,CA,2757,57718,237,47.0,1.0,0.01651131362833085,0.21928069450186027,declared,0.7916163704009922,1.0,0.0137655881185637,distance,32561,0.48582660237707687,0,,0,False,1.8522145938765338,,
mdb-717,Winnipeg Transit,CA,5950,240909,284,57.0,1.0,0.025935104126454386,0.19291984493172215,not_declared,,,,,0,,0,,0,False,4.765899324799489,,
