feed_id,agency,country,fail_reason
jbda-katsushikacity-sakura,葛飾区,JP,insufficient fixed-route bus service
jbda-kawagoetown-fureaibus,川越町,JP,insufficient fixed-route bus service
jbda-khkhokubu-kotsu-GTFS-Hokubutraffic_Localbus,株式会社県交北部交通,JP,insufficient fixed-route bus service
jbda-kihotown-chominbus,紀宝町,JP,insufficient fixed-route bus service
jbda-kisosakitown-communitybus,木曽岬町,JP,insufficient fixed-route bus service
jbda-kisotown-kisotown,木曽町,JP,insufficient fixed-route bus service
jbda-kisovillage-kisovill,木祖村,JP,insufficient fixed-route bus service
jbda-kitagawavillage-GTFS-Kitagawavill_Bus,北川村,JP,insufficient fixed-route bus service
jbda-kitajimatown-kitajimatownfukushibus,北島町,JP,insufficient fixed-route bus service
jbda-kitakyushucity-higashitani,北九州市,JP,insufficient fixed-route bus service
jbda-kitakyushucity-hiraodai,北九州市,JP,insufficient fixed-route bus service
jbda-kitakyushucity-koyanose-kusubashi-hoshigaoka,北九州市,JP,insufficient fixed-route bus service
jbda-kitakyushucity-okura,北九州市,JP,insufficient fixed-route bus service
jbda-kitakyushucity-oma-dobaru,北九州市,JP,insufficient fixed-route bus service
jbda-kitakyushucity-tashiro-kawachi,北九州市,JP,insufficient fixed-route bus service
jbda-kitakyushucity-tsunemi-kitaku,北九州市,JP,insufficient fixed-route bus service
jbda-kiyosato-kiyosato-picnicbus,NPO法人清里観光振興会,JP,insufficient fixed-route bus service
jbda-kobecity-kobe-satoyama,神戸市,JP,insufficient fixed-route bus service
jbda-kochi-kanko-convention-GTFS-KVCA_MY-YUbus,公益財団法人高知県観光コンベンション協会,JP,insufficient fixed-route bus service
jbda-kochi-suzakicity-GTFS-Susakicity_Bus,須崎市,JP,insufficient fixed-route bus service
jbda-kochi-tsunotown-GTFS-Tsunotown_Bus,津野町,JP,insufficient fixed-route bus service
jbda-kochi_pref-GTFS-Kochipref_Ferry,高知県,JP,insufficient fixed-route bus service
jbda-kochiap-GTFS-KochIAP_AirportShare,高知県航空利用促進協議会,JP,insufficient fixed-route bus service
jbda-komatsucity-orange,小松市,JP,insufficient fixed-route bus service
jbda-komonotown-communitybus,菰野町,JP,insufficient fixed-route bus service
jbda-kosugevillage-kosugesoneibus,小菅村,JP,insufficient fixed-route bus service
jbda-kozushimavillage-kozushimavillagebus,神津島村,JP,insufficient fixed-route bus service
jbda-kumamoto-shiden-kumamotoshiden,熊本市交通局,JP,insufficient fixed-route bus service
jbda-kumamotodentetsu-kumamotodentetsu,熊本電鉄,JP,insufficient fixed-route bus service
